"Time","Commodity","DomPrice","WorldPrice","Gap","GapRatio","Currency"
"200901","Maize",284.799112430939,297.594964722445,-12.7958522915056,-4.2997542997543,6.83815333333333
"200901","Rice",432.865403232647,682.257503455863,-249.392100223217,-36.5539549158436,6.83815333333333
"200901","Wheat",316.63571502911,374.192480166023,-57.5567651369137,-15.3815932141064,6.83815333333333
"200902","Maize",282.155767461378,277.145353962712,5.01041349866608,1.80786487199789,6.83576315789474
"200902","Rice",438.868335649583,651.010153949434,-212.141818299851,-32.58656059554,6.83576315789474
"200902","Wheat",316.746429062285,351.86788950955,-35.1214604472648,-9.98143379784345,6.83576315789474
"200903","Maize",279.480652848714,286.650575356351,-7.16992250763712,-2.50127616130679,6.83410454545455
"200903","Rice",436.897522920184,650.429353370142,-213.531830449958,-32.8293656095872,6.83410454545455
"200903","Wheat",316.823302274297,373.902028943223,-57.0787266689268,-15.2656905420521,6.83410454545455
"200904","Maize",276.770683387416,281.050089052626,-4.27940566521045,-1.52264874906679,6.83116666666667
"200904","Rice",437.112705535073,648.949230297962,-211.83652476289,-32.643004240197,6.83116666666667
"200904","Wheat",315.022312020447,361.290490480722,-46.2681784602757,-12.8063648724083,6.83116666666667
"200905","Maize",274.205995537451,275.593143787053,-1.38714824960209,-0.503331915496953,6.82455294117647
"200905","Rice",437.000615712545,648.128086635173,-211.127470922628,-32.5749609184071,6.82455294117647
"200905","Wheat",313.388478705729,348.855899584412,-35.4674208786831,-10.1667825944565,6.82455294117647
"200906","Maize",271.027875746517,269.520539288532,1.50733645798545,0.559265895639895,6.83324545454545
"200906","Rice",436.073823000072,645.826666556888,-209.752843556817,-32.4781949118138,6.83324545454545
"200906","Wheat",311.053162830522,335.643666075233,-24.5905032447116,-7.32637190275431,6.83324545454545
"200907","Maize",268.246438661225,263.845596761035,4.40084190019007,1.66796109323569,6.83202608695652
"200907","Rice",435.680674831657,644.106534690053,-208.425859858397,-32.3589109305796,6.83202608695652
"200907","Wheat",309.17167632278,322.932835366031,-13.7611590432513,-4.26130685275561,6.83202608695652
"200908","Maize",265.409317902234,258.115440507679,7.29387739455541,2.82581986579718,6.83221428571429
"200908","Rice",435.437162183354,641.227283012771,-205.790120829417,-32.0931635757174,6.83221428571429
"200908","Wheat",307.226210589723,310.153555924955,-2.92734533523185,-0.943837424820701,6.83221428571429
"200909","Maize",277.496738464815,258.38680476051,19.1099337043052,7.39586285066591,6.82890909090909
"200909","Rice",434.549641896749,615.332022751535,-180.782380854786,-29.3796477625843,6.82890909090909
"200909","Wheat",311.446099038962,317.515656848041,-6.0695578090793,-1.91157748544796,6.82890909090909
"200910","Maize",270.472946846696,283.557197704983,-13.0842508582874,-4.61432506887052,6.82754666666667
"200910","Rice",432.073209312862,632.764091858381,-200.690882545519,-31.7165409870375,6.82754666666667
"200910","Wheat",314.358649793902,340.769386498355,-26.4107367044531,-7.75032551363875,6.82754666666667
"200911","Maize",279.755494674114,297.771162655745,-18.0156679816314,-6.05017215937039,6.82739047619048
"200911","Rice",414.506832422902,608.490695968611,-193.98386354571,-31.8795118529991,6.82739047619048
"200911","Wheat",316.646215367888,382.559861584617,-65.9136462167284,-17.2296293562278,6.82739047619048
"200912","Maize",285.044512869153,320.41493037999,-35.3704175108362,-11.0389417462193,6.82788095238095
"200912","Rice",444.757570212448,625.019780030615,-180.262209818167,-28.8410408082345,6.82788095238095
"200912","Wheat",321.183889641828,357.400132277439,-36.2162426356117,-10.1332482461137,6.82788095238095
"201001","Maize",290.377214783933,343.107959346034,-52.7307445621003,-15.3685576582384,6.82732631578947
"201001","Rice",477.492923175598,641.278928989205,-163.786005813608,-25.5405250990812,6.82732631578947
"201001","Wheat",325.770772714625,444.416366702505,-118.64559398788,-26.6969452246348,6.82732631578947
"201002","Maize",295.699160983384,314.485487121798,-18.7863261384143,-5.97367029885818,6.82704
"201002","Rice",452.60160030112,619.310959602204,-166.709359301084,-26.9185223862605,6.82704
"201002","Wheat",321.467791286437,406.908492634518,-85.4407013480806,-20.9975222672048,6.82704
"201003","Maize",301.035424287027,285.873786129505,15.1616381575218,5.30361260568793,6.82643913043478
"201003","Rice",439.467772681792,595.674162150298,-156.206389468507,-26.2234623211832,6.82643913043478
"201003","Wheat",317.179063463031,369.414493760372,-52.2354302973415,-14.1400597918134,6.82643913043478
"201004","Maize",298.85043038229,276.827302260981,22.0231281213088,7.95554771564649,6.82615714285714
"201004","Rice",436.556020852561,600.199165448228,-163.643144595667,-27.2648070867375,6.82615714285714
"201004","Wheat",316.866339514693,359.638984401505,-42.7726448868114,-11.8932170153891,6.82615714285714
"201005","Maize",298.79625810878,291.546054787023,7.25020332175717,2.48681235870384,6.82739473684211
"201005","Rice",457.714856171538,522.664663089489,-64.949806917951,-12.4266688576249,6.82739473684211
"201005","Wheat",315.994482748103,368.996616229167,-53.0021334810642,-14.3638535287126,6.82739473684211
"201006","Maize",297.806792342111,274.04093009609,23.7658622460207,8.67237687366167,6.8165
"201006","Rice",467.248587985036,508.330897468413,-41.0823094833771,-8.08180452692827,6.8165
"201006","Wheat",317.315253694597,354.109228424494,-36.7939747298966,-10.3905721106452,6.8165
"201007","Maize",300.988752266725,275.980127997504,25.0086242692205,9.06174819566961,6.7776619047619
"201007","Rice",461.811173821004,516.964812434154,-55.1536386131497,-10.6687413314373,6.7776619047619
"201007","Wheat",319.953962842156,381.958497182739,-62.0045343405829,-16.2333171792006,6.7776619047619
"201008","Maize",318.109125086104,328.418217102784,-10.3090920166793,-3.1390134529148,6.79012272727273
"201008","Rice",469.800050474386,550.362009736047,-80.5619592616619,-14.6379942358847,6.79012272727273
"201008","Wheat",319.366802682798,455.556648944103,-136.189846261306,-29.8952603538919,6.79012272727273
"201009","Maize",308.14190887009,334.543477957395,-26.4015690873049,-7.89181999556639,6.74202352941176
"201009","Rice",482.42192953067,534.367380513343,-51.9454509826735,-9.72092475644229,6.74202352941176
"201009","Wheat",324.531801197474,472.452453133677,-147.920651936203,-31.3091086637558,6.74202352941176
"201010","Maize",319.937740765013,369.911341530666,-49.9736007656527,-13.5096157254508,6.67317333333333
"201010","Rice",491.520276210419,586.95498981049,-95.4347136000713,-16.2592899382088,6.67317333333333
"201010","Wheat",331.629727279517,453.957645671159,-122.327918391642,-26.9469893409954,6.67317333333333
"201011","Maize",329.037317940196,356.1115301287,-27.0742121885038,-7.6027339465024,6.65578
"201011","Rice",553.904526091107,542.878862732387,11.0256633587198,2.03096199089897,6.65578
"201011","Wheat",344.192216472558,455.123675295091,-110.931458822533,-24.3739152331742,6.65578
"201012","Maize",324.260086540925,371.730936591524,-47.4708500505991,-12.770217751008,6.65360952380952
"201012","Rice",531.290570531713,573.647088442364,-42.3565179106516,-7.38372402894325,6.65360952380952
"201012","Wheat",341.797423961335,494.34003359914,-152.542609637805,-30.8578304951732,6.65360952380952
"201101","Maize",324.076251172644,387.0472955255,-62.9710443528558,-16.2695993695962,6.60338421052632
"201101","Rice",541.389064458974,619.795144364352,-78.4060799053783,-12.6503217423219,6.60338421052632
"201101","Wheat",344.565543125663,479.568877804727,-135.003334679064,-28.1509791246366,6.60338421052632
"201102","Maize",339.204316356844,417.103600158392,-77.8992838015479,-18.6762434493411,6.58403571428571
"201102","Rice",554.877508547912,597.888758876065,-43.0112503281528,-7.19385499219052,6.58403571428571
"201102","Wheat",349.631819646168,515.906307765839,-166.274488119671,-32.2295900664079,6.58403571428571
"201103","Maize",344.946087896196,419.659532240878,-74.7134443446813,-17.8033473815618,6.56624347826087
"201103","Rice",571.610441458597,600.963740253696,-29.3532987950988,-4.88437102423298,6.56624347826087
"201103","Wheat",355.236653415886,481.345698803219,-126.109045387333,-26.1992671173506,6.56624347826087
"201104","Maize",350.254370761019,445.65297855015,-95.3986077891313,-21.4064782197783,6.52918333333333
"201104","Rice",582.576199647221,575.439896467742,7.13630317947934,1.24014744602922,6.52918333333333
"201104","Wheat",356.54332369973,492.601507930634,-136.058184230903,-27.6203344976488,6.52918333333333
"201105","Maize",355.219085746464,434.64815039903,-79.4290646525661,-18.2743362831858,6.49951
"201105","Rice",597.275794636827,551.642989043819,45.6328055930078,8.2721627029295,6.49951
"201105","Wheat",354.110318889758,480.726324839189,-126.616005949432,-26.3384797975824,6.49951
"201106","Maize",359.784385737158,437.916162505715,-78.1317767685574,-17.8417202784877,6.47783809523809
"201106","Rice",601.666781833445,597.56236607632,4.10441575712503,0.686859814160493,6.47783809523809
"201106","Wheat",358.367962853293,457.64273697035,-99.2747741170573,-21.6926362197438,6.47783809523809
"201107","Maize",364.095607405109,421.066316474533,-56.9707090694242,-13.5301036536058,6.461215
"201107","Rice",621.55492426734,617.930172145706,3.62475212163349,0.586595749006123,6.461215
"201107","Wheat",355.933712781822,429.282349458354,-73.3486366765322,-17.0863388091961,6.461215
"201108","Maize",370.565784759885,432.973783993729,-62.4079992338442,-14.4138055330269,6.40743181818182
"201108","Rice",615.69129597378,629.654823285865,-13.9635273120844,-2.21764795498822,6.40743181818182
"201108","Wheat",352.326108817225,451.278396338218,-98.9522875209921,-21.9271049365347,6.40743181818182
"201109","Maize",375.422423666066,424.264548059554,-48.8421243934881,-11.5121861152142,6.38281
"201109","Rice",612.191182253584,676.281079081755,-64.0898968281713,-9.47681353368517,6.38281
"201109","Wheat",354.991932651479,454.97759694485,-99.9856642933709,-21.9759533139146,6.38281
"201110","Maize",380.417283707193,399.354572112984,-18.937288405791,-4.74197360646051,6.35650666666667
"201110","Rice",637.666810701055,689.317055059908,-51.6502443588529,-7.49295900626799,6.35650666666667
"201110","Wheat",362.729941763115,431.807233043447,-69.0772912803328,-15.9972520130022,6.35650666666667
"201111","Maize",384.906309229627,393.424727548644,-8.51841831901635,-2.16519647153168,6.339205
"201111","Rice",626.26149493509,702.625161503824,-76.3636665687337,-10.8683364548592,6.339205
"201111","Wheat",361.38090983865,426.123710395162,-64.7428005565114,-15.1934283348073,6.339205
"201112","Maize",389.006081209199,373.185117967332,15.8209632418669,4.23944109241029,6.32862857142857
"201112","Rice",609.926772670224,678.536847002037,-68.6100743318131,-10.1114736266647,6.32862857142857
"201112","Wheat",361.984851014348,411.113644321246,-49.1287933068975,-11.9501733852714,6.32862857142857
"201201","Maize",393.259761233731,383.641027264955,9.61873396877672,2.5072224515064,6.3158
"201201","Rice",628.582285696191,596.321518220656,32.2607674755344,5.40996199026942,6.3158
"201201","Wheat",362.720109970822,417.332017409601,-54.611907438779,-13.0859615750924,6.3158
"201202","Maize",397.695528509482,388.787307391959,8.90822111752345,2.29128393549704,6.30036
"201202","Rice",565.576146971495,599.789776508793,-34.2136295372979,-5.70427020887979,6.30036
"201202","Wheat",365.815376678937,422.798944116774,-56.9835674378369,-13.4776986155619,6.30036
"201203","Maize",400.67301248748,394.094207336845,6.57880515063522,1.66934835076428,6.30813636363636
"201203","Rice",636.875896209081,612.591266476843,24.2846297322371,3.96424680879048,6.30813636363636
"201203","Wheat",365.364417278436,420.454695755282,-55.0902784768467,-13.1025480350232,6.30813636363636
"201204","Maize",403.591957915545,390.410203854752,13.181754060793,3.37638564019119,6.29658235294118
"201204","Rice",658.028927613081,622.943615677283,35.0853119357977,5.63218099565115,6.29658235294118
"201204","Wheat",376.190218075798,419.836572822834,-43.6463547470365,-10.3960344506371,6.29658235294118
"201205","Maize",401.840231337326,387.368432182109,14.471799155217,3.73592630501535,6.30536666666667
"201205","Rice",668.742499775324,667.491508780207,1.25099099511669,0.187416765406221,6.30536666666667
"201205","Wheat",379.193510635889,421.630603912365,-42.4370932764751,-10.0649935945575,6.30536666666667
"201206","Maize",398.675802772805,370.461822884268,28.213979888537,7.6158940397351,6.31779
"201206","Rice",671.120755833923,696.165310754267,-25.044554920344,-3.59750112989825,6.31779
"201206","Wheat",377.127695688578,406.160311684238,-29.0326159956599,-7.148068179106,6.31779
"201207","Maize",404.805560052558,435.640358572187,-30.8347985196285,-7.07803992740472,6.32402380952381
"201207","Rice",695.759556340335,677.977024635036,17.7825317052984,2.62288116840996,6.32402380952381
"201207","Wheat",368.930678448746,499.379137504126,-130.448459055381,-26.1221283106369,6.32402380952381
"201208","Maize",412.042792791248,452.734482950154,-40.6916901589061,-8.98798118794635,6.34036086956522
"201208","Rice",682.13782921422,652.597265993426,29.540563220794,4.52661461519073,6.34036086956522
"201208","Wheat",366.576898209763,509.834632768659,-143.257734558897,-28.098862915792,6.34036086956522
"201209","Maize",409.344053240879,448.227794714435,-38.8837414735556,-8.67499560091501,6.33941052631579
"201209","Rice",680.228860727546,678.065372343857,2.16348838368901,0.319067817342041,6.33941052631579
"201209","Wheat",385.051155444184,530.496572448672,-145.445417004488,-27.4168438701005,6.33941052631579
"201210","Maize",398.298902078123,434.327928011631,-36.0290259335081,-8.29535095715588,6.31435333333333
"201210","Rice",696.825116955761,656.724263393827,40.1008535619339,6.10619339000828,6.31435333333333
"201210","Wheat",396.852704304762,512.449238225856,-115.596533921094,-22.5576555292187,6.31435333333333
"201211","Maize",401.46066559081,435.292959070867,-33.8322934800564,-7.77230432402846,6.29576
"201211","Rice",692.52957546031,671.622075977505,20.9074994828043,3.11298574460568,6.29576
"201211","Wheat",406.267849297,512.69196340959,-106.42411411259,-20.7579056642181,6.29576
"201212","Maize",401.109689112169,425.592801329083,-24.483112216914,-5.7527082555099,6.29005
"201212","Rice",683.619367095651,669.577891562153,14.0414755334981,2.09706379354001,6.29005
"201212","Wheat",415.830176627577,497.720297224276,-81.8901205966995,-16.4530402021759,6.29005
"201301","Maize",402.748881352068,412.066057648299,-9.31717629623176,-2.26108802782878,6.27872631578947
"201301","Rice",677.233308035899,677.708904765953,-0.475596730053439,-0.0701771404669569,6.27872631578947
"201301","Wheat",432.166457698478,476.057627808822,-43.8911701103441,-9.21971785482438,6.27872631578947
"201302","Maize",398.873092584932,412.345667786602,-13.4725752016707,-3.26730126061231,6.28437142857143
"201302","Rice",668.881895968526,686.519659193782,-17.6377632252565,-2.569156321899,6.28437142857143
"201302","Wheat",442.395750066134,465.326658169903,-22.9309081037686,-4.92791627153999,6.28437142857143
"201303","Maize",396.060433881416,423.760757184672,-27.7003233032556,-6.53678351135851,6.274295
"201303","Rice",660.791371779618,684.195412704839,-23.4040409252211,-3.42066615628101,6.274295
"201303","Wheat",433.704987164397,445.714263957589,-12.0092767931919,-2.69438915563494,6.274295
"201304","Maize",393.384628518985,386.721501291273,6.66312722771221,1.72297821700212,6.24706666666667
"201304","Rice",660.309905448957,666.899208908945,-6.5893034599876,-0.988050873649779,6.24706666666667
"201304","Wheat",434.349219470605,445.211797181255,-10.8625777106503,-2.43986744722938,6.24706666666667
"201305","Maize",393.88946470294,402.219026859741,-8.32956215680053,-2.07090207090207,6.19780476190476
"201305","Rice",651.843701955915,662.867809002634,-11.0241070467185,-1.66309283645943,6.19780476190476
"201305","Wheat",438.100599771218,450.74714114086,-12.6465413696416,-2.80568421080442,6.19780476190476
"201306","Maize",398.589021550685,400.063476874307,-1.47445532362246,-0.368555344052485,6.17177058823529
"201306","Rice",642.846318293635,638.57027915546,4.27603913817472,0.669627021136894,6.17177058823529
"201306","Wheat",435.594110200012,436.62393785578,-1.02982765576792,-0.235861474023678,6.17177058823529
"201307","Maize",404.036838669956,362.499016308449,41.5378223615078,11.4587407117716,6.17208571428571
"201307","Rice",635.117556926809,619.698916719309,15.4186402074996,2.48808571251447,6.17208571428571
"201307","Wheat",436.429114581375,429.335057943933,7.09405663744207,1.65233574714705,6.17208571428571
"201308","Maize",402.401573991137,318.761196492551,83.6403774985857,26.2391967463142,6.17076363636364
"201308","Rice",635.253630020743,598.023236478338,37.2303935424051,6.22557641098505,6.17076363636364
"201308","Wheat",438.818974732198,423.937446309217,14.8815284229805,3.5103123237967,6.17076363636364
"201309","Maize",405.396627784243,317.464613386019,87.9320143982246,27.6982097186701,6.15816666666667
"201309","Rice",652.791685837235,523.285393016911,129.506292820324,24.7486925009845,6.15816666666667
"201309","Wheat",443.027332773926,429.436701038369,13.5906317355571,3.1647578566749,6.15816666666667
"201310","Maize",408.215665981875,314.955757184419,93.2599087974553,29.6104791451224,6.140545
"201310","Rice",661.17909729511,518.665583594241,142.513513700869,27.4769559054374,6.140545
"201310","Wheat",459.80474965342,462.821477753377,-3.01672809995699,-0.651812468729877,6.140545
"201311","Maize",404.981829064578,311.134392890096,93.8474361744821,30.1629901158604,6.13762105263158
"201311","Rice",658.235489834909,506.905428447867,151.330061387042,29.8537070021939,6.13762105263158
"201311","Wheat",459.79731277881,446.755795814749,13.0415169640606,2.91916010631186,6.13762105263158
"201312","Maize",403.166481396717,305.838455502517,97.3280258941999,31.823344691655,6.1172
"201312","Rice",671.058654286275,503.535130207892,167.523524078382,33.2694809216624,6.1172
"201312","Wheat",467.460743543023,433.330245500847,34.1304980421762,7.87632490382205,6.1172
"201401","Maize",386.637050935379,306.83172320788,79.8053277274985,26.0094774077288,6.10391578947368
"201401","Rice",661.87020583853,492.154832072791,169.715373765739,34.4841425311124,6.10391578947368
"201401","Wheat",470.615996591179,418.852891481032,51.7631051101466,12.3583019630391,6.10391578947368
"201402","Maize",384.137231594673,316.177112073196,67.9601195214773,21.4943197740844,6.11326666666667
"201402","Rice",670.672526417954,496.526818698321,174.145707719633,35.0727697199052,6.11326666666667
"201402","Wheat",471.94264149419,427.331722992254,44.6109185019362,10.4394118436992,6.11326666666667
"201403","Maize",384.884546642745,333.718692431982,51.1658542107628,15.33203125,6.1369052631579
"201403","Rice",699.864152341485,476.72234106301,223.141811278475,46.8075003115876,6.1369052631579
"201403","Wheat",470.75901384129,461.57511910493,9.18389473635909,1.98968582928986,6.1369052631579
"201404","Maize",387.482920695162,340.245747029704,47.2371736654584,13.8832517607735,6.15511
"201404","Rice",672.611862338772,447.551890448309,225.059971890463,50.2869000653809,6.15511
"201404","Wheat",467.078123442416,458.280644501525,8.79747894089144,1.91967063118297,6.15511
"201405","Maize",395.896206193948,336.998532895422,58.8976732985259,17.477130476649,6.16323157894737
"201405","Rice",671.725530181535,447.098899209471,224.626630972064,50.2409268663452,6.16323157894737
"201405","Wheat",477.022477955003,461.793904921528,15.2285730334751,3.29769901057122,6.16323157894737
"201406","Maize",412.581332821796,315.121175462317,97.4601573594795,30.9278350515464,6.1563619047619
"201406","Rice",672.475085780408,438.570708117658,233.904377662751,53.3333333333333,6.1563619047619
"201406","Wheat",477.554771061449,438.570708117658,38.9840629437918,8.88888888888889,6.1563619047619
"201407","Maize",422.31101582042,276.126433421044,146.184582399376,52.9411764705882,6.1566
"201407","Rice",682.194717863756,454.796478575837,227.398239287919,50,6.1566
"201407","Wheat",467.790663678004,402.81973816717,64.9709255108339,16.1290322580645,6.1566
"201408","Maize",441.514412987573,292.178655653541,149.335757334032,51.1111111111111,6.16061428571429
"201408","Rice",681.750196524929,473.978708060189,207.77148846474,43.8356164383562,6.16061428571429
"201408","Wheat",470.732278552927,392.81797037865,77.9143081742777,19.8347107438017,6.16061428571429
"201409","Maize",442.127249749068,279.580466753087,162.546782995981,58.1395348837209,6.152075
"201409","Rice",676.194617263281,503.895027287541,172.29958997574,34.1935483870968,6.152075
"201409","Wheat",481.138477668104,383.610407870515,97.5280697975886,25.4237288135593,6.152075
"201410","Maize",426.429433779453,276.690853979035,149.738579800419,54.1176470588235,6.14404117647059
"201410","Rice",673.823609101884,511.064283231864,162.75932587002,31.8471337579618,6.14404117647059
"201410","Wheat",481.76760457526,397.13275512285,84.6348494524106,21.3114754098361,6.14404117647059
"201411","Maize",403.625030176939,286.443569802989,117.18146037395,40.9090909090909,6.14431666666667
"201411","Rice",673.793397150212,498.021206589287,175.772190560925,35.2941176470588,6.14431666666667
"201411","Wheat",481.746003759572,387.349827347223,94.3961764123486,24.3697478991597,6.14431666666667
"201412","Maize",401.683868730396,297.180748410293,104.503120320103,35.1648351648352,6.12421904761905
"201412","Rice",672.738837060663,493.124099010486,179.614738050177,36.4238410596027,6.12421904761905
